Sku,Name,ManufacturersCode,DateCreated,DateUpdated,IsActive,Summary,Weight,WeightUnit,CategoryID,Category,ManufacturerID,Manufacturer,CostPrice,SellPrice,Qty
NOT6700,Apple MacBook Pro (13.3 inch) Notebook,MD102B/A,25/09/2012 08:58,04/03/2025 11:14,0,Core i7 2.9GHz 8GB 750GB DVDÝRW WLAN BT Webcam Mac OSX Lion (Intel HD Graphics 4000),3.9,KG,101,Laptops,299,Apple,66.938,72.29304,53
NOT5695,Toshiba Satellite L750-1E9 (15.6 inch) Notebook ,PSK1WE-0D4009EN,27/03/2012 15:26,24/09/2024 15:52,0,Core i5 (2430M) 3.0GHz 4GB 500GB DVDÝRW WLAN BT Webcam Windows 7 HP 64-bit (Intel HD Graphics 3000),3.2,KG,101,Laptops,258,Toshiba,667.743,727.83987,165
NOT4201,Sony Vaio Notebook TZ21MN/N,VGNTZ21MN/N.CEK,29/03/2010 14:52,27/06/2023 10:48,0,"Core 2 Duo U7500 / 1024MB<br/>100GB / 11.1"" / DVDRW / Webcam<br/>WLAN / BT / Vista Business<br/>Platinum Stand",5,KG,101,Laptops,76,Sony,1403.772,1951.24308,13
NOT3350,HP 6530b Notebook PC,NB029ET#ABU,18/08/2010 14:31,04/03/2025 11:33,0,Intel Core 2 Duo (P8700) 2.53GHz 3GB (1x1GB+1x2GB) 250GB 14.1 inch TFT DVDÝ SM (LS) LAN WLAN BT Windows 7 Pro/XP Pro (Intel GMA 4500MHD),2.4,KG,101,Laptops,316,HP,1916.836,2702.73876,133
NOT4775,Samsung NP-Q320-FS01UK Notebook,NP-Q320-FS01UK,29/03/2010 14:52,04/03/2025 11:13,0,"Intel Pentium Dual Core (T4200) 2GHz 3072MB (1 x 2GB, 1 x 1GB) 320GB 13.4 inch TFT DVD Super Multi DL LAN WLAN BT Vista Home Premium (nVIDIA GeForce G 105M)",2.23,KG,101,Laptops,143,Samsung,1965.683,2516.07424,52
NOT2047,Amilo Pro V2060,VFY:APED206061E2GB,29/09/2009 12:00,27/06/2023 10:48,0,"Pentium M 735 / 512MB<br/>40GB HDD / 15.1""XGA<br/>Wireless LAN / XP Home<br/>** WEB ONLY SPECIAL **",5,KG,101,Laptops,342,Fujitsu Siemens,1938.664,2636.58304,1
NOT0351,Acer TravelMate 5735-663G32Mnss Notebook,LX.TZZ03.020,04/04/2011 12:44,04/03/2025 11:22,0,Intel Core 2 Duo (T6670) 2.2GHz 3GB 320GB 15.6 inch HD LED LCD DVD-SuperMulti DL WLAN Webcam Windows 7 Professional 64 Bit (UMA Graphics),3.85,KG,101,Laptops,155,Acer,1931.378,2414.2225,162
NOT5951,Toshiba Tecra R950-12Q (15.6 inch) Notebook,PT534E-012003EN,12/09/2012 11:18,04/03/2025 11:33,0,Core i5 (3210M) 2.5GHz 4GB 320GB DVDÝRW WLAN BT Windows 7 Professional 64-bit (Intel HD Graphics 4000),2.49,KG,101,Laptops,258,Toshiba,583.701,758.8113,143
NOT8808,HP ProBook 6570b (15.6 inch) Notebook Core i5 (3230M) 2.6GHz 4GB 500GB,H5E81EA#ABU,27/08/2013 14:11,04/03/2025 11:33,0,DVDÝRW SuperMulti DL WLAN WWAN BT Windows 7 Pro 64-bit (HD Graphics 4000),2.51,KG,101,Laptops,316,HP,106.085,118.8152,65
NOT8750,HP EliteBook 2570p (12.5 inch) Notebook Core i7 (3520M) 2.9GHz 4GB 500GB,B6Q08EA#ABU_CN01,21/08/2013 17:34,07/07/2025 13:45,0,DVDÝRW SM DL WLAN BT Webcam Windows 7 Pro 64-bit (HD Graphics 4000) + Targus CN01 Notepac,3.09,KG,101,Laptops,316,HP,1119.574,1175.5527,195
NOT5256,HP ProBook 4530s (15.6 inch) Notebook,A1E99EA#ABU,13/12/2011 13:29,24/09/2024 15:52,0,Core i5 (2430M) 2.4GHz 4GB 640GB DVDÝRW SM DL WLAN BT Webcam Windows 7 HP 64-bit (Radeon HD 6490M 1GB),4.4,KG,101,Laptops,316,HP,1169.138,1519.8794,210
NOT5209,Lenovo U300s 13.3 inch Notebook,M6844UK,22/11/2011 14:27,07/07/2025 13:41,0,I7-2677M Shared 13.3 INCH 256GB SSD 4Gb W7 HP - Grey,2.69,KG,101,Laptops,231,Lenovo,1953.038,2031.15952,226
NOT3724,HP ProBook 5310m Notebook PC,VQ468EA#ABU,07/01/2011 13:28,04/03/2025 11:23,0,"Core 2 Duo (SP9300) 2.26GHz 2GB 320GB (no Modem, no OD) WLAN BT 13.3 inch LED HD BV Web Cam Windows 7 Pro (Mobile GMA 4500MHD)",3,KG,101,Laptops,316,HP,1261.724,1766.4136,226
NOT6892,Acer Aspire V5-531-987B4G50Mabb (15.6 inch) Notebook,NX.M1GEK.005,25/10/2012 13:00,20/05/2025 12:14,0,Pentium (B987) 1.5GHz 4GB 500GB DVD-SM DL WLAN BT Webcam Windows 8 (64-bit) Intel HD Graphics 3000 (Matte Blue),4,KG,101,Laptops,155,Acer,1031.828,1351.69468,24
NOT2691,HP Pavilion dv6-3142ea Entertainment Notebook,XD622EA#ABU,18/07/2011 12:58,07/07/2025 13:44,0,Phenom II X4 (N930) 2GHz 4GB 640GB 15.6 inch HD LED BrightView DVDÝRW SuperMulti (LS) WLAN BT Webcam Windows 7 Home Premium 64-bit (ATI Radeon HD 5470),2.49,KG,101,Laptops,316,HP,1703.071,2196.96159,63
NOT1374,Acer TravelMate 5520-301G12 Notebook,LX.TKT0Z.033,29/03/2010 14:51,27/06/2023 10:47,0,"Turion 64 X2 TL-56 / 1024MB<br/>120GB / 15.4"" / WLAN DVDRW<br/>BT / Vista Business / Webcam",5,KG,101,Laptops,155,Acer,564.641,575.93382,46
NOT9675,Asus X552EA (15.6 inch) Notebook AMD A4 (5000) 1.5GHz 4GB 500GB,X552EA-SX015H,11/12/2013 09:35,04/03/2025 11:28,0,"AMD A4-5000 Quad Core CPU, 500GB HDD, 4GB RAM, AMD Radeon HD 8330 Graphics, DVD-RW, 500GB Hard Drive, Windows 8<br/>",3.2,KG,101,Laptops,317,ASUS,1407.889,1942.88682,233
NOT5357,HP ProBook 4330s (13.3 inch) Notebook,LW820EA#ABU,13/01/2012 13:16,04/03/2025 11:23,0,Core i3 (2310M) 2.1GHz 4GB 320GB DVDÝRW SM DL WLAN BT Webcam Windows 7 Pro 64-bit (HD Graphics 3000),2.1,KG,101,Laptops,316,HP,1302.709,1315.73609,10
NOT4005,Sony VAIO GRT Series PCG-GRT996VP,GRT996VP,29/09/2009 12:00,27/06/2023 10:48,0,Big screen for creative flair,4,KG,101,Laptops,76,Sony,75.096,96.12288,224
NOT5594,HP ProBook 4530s 15.6 inch Notebook,LW851EA#ABU,05/03/2012 14:32,04/03/2025 11:13,0,Core i3 (2330M) 2.2GHz 4GB 320GB DVDÝRW SuperMulti DL WLAN BT Webcam Windows 7 Pro 64-bit (Intel HD Graphics 3000),2.36,KG,101,Laptops,316,HP,982.656,1071.09504,242
NOT5700,Acer Aspire 5750-2434G50Mnrr (15.6 inch) Notebook,LX.RQL02.081,02/04/2012 11:59,24/09/2024 15:52,0,Core i5 (2430M) 2.4GHz 4GB 500GB DVD-SM DL WLAN Webcam Windows 7 HP 64-bit HD Graphics 3000 (Red),4,KG,101,Laptops,155,Acer,1214.453,1433.05454,195
NOT6908,Asus ZENBOOK UX31E (13.3 inch) Notebook,UX31E-RY012V,25/10/2012 13:09,04/03/2025 10:24,0,Core i7 (2677M) 4GB 128GB SSD Webcam Windows 7 HP (Intergrated Intel HD Graphics 3000),2.1,KG,101,Laptops,317,ASUS,1876.673,2045.57357,140
NOT6470,Toshiba Satellite Pro U400-153 Notebook,PSU45E-00K005EN?HDD,29/03/2010 14:52,27/06/2023 10:49,0,Pentium Dual-Core (T3200) 2.0GHz 2048MB 120GB 13.3 inch WXGA TFT DVD Super Multi (DL) Modem LAN WLAN Vista Business (Intel GMA 4500MHD) + 160GB HDD,4,KG,101,Laptops,258,Toshiba,1171.783,1605.34271,8
NOT4148,HP 630 15.6 inch Notebook,LH399EA_QD287AT,06/09/2011 11:33,07/07/2025 13:45,0,Core 2 Duo (P7570) 2.26GHz 3GB 320GB DVDÝRW SuperMulti DL WLAN BT Windows 7 Pro 64-bit (GMA 4500MHD) + Norton Internet Security 3 Year 1 User/PC,2.5,KG,101,Laptops,316,HP,964.895,1099.9803,58
NOT5842,HP 630 15.6 inch Notebook,B0W40ES#ABU,06/07/2012 14:01,07/07/2025 13:44,0,Pentium (B960) 2.2GHz 2GB 320GB DVDÝRW SM DL WLAN Windows 7 HP 64-bit (Intel HD Graphics) + Bag,2.5,KG,101,Laptops,316,HP,1532.958,1747.57212,226
NOT9157,Asus F5SL-AP130C Laptop,F5SL-AP130C,29/09/2009 12:01,27/06/2023 10:50,0,"Core 2 Duo T5550, <br/>2GB, <br/>250GB HDD, <br/>DVD RW <br/>Vista Home Premium",3.5,KG,101,Laptops,317,ASUS,957.7,1082.201,93
NOT9563,Dell Vostro 3460 (14 inch) Notebook PC Core i3 (3120M) 2.5GHz 4GB 500GB,3460-2168,06/11/2013 17:44,24/09/2024 15:53,0,DVD-RW WLAN BT Webcam Windows 7 Pro 64-bit (HD Graphics 4000),2.23,KG,101,Laptops,364,Dell,829.313,845.89926,216
NOT4074,Sony VAIO VGN-FS285E,VGN-FS285E,29/09/2009 12:00,27/06/2023 10:48,0,Intel Celeron M Processor 370<br/>  80GB HDD / 512MB<br/>  15.4&quot; TFT WUXGA 1280x800,3,KG,101,Laptops,76,Sony,1933.06,2570.9698,187
NOT5854,Asus N55SL (15.6 inch) Notebook,N55SL-S2012V,18/07/2012 09:35,24/09/2024 15:55,0,Core i5 (2410M) 6GB 500GB Blu Ray Combo LAN BT Webcam  Windows 7 HP ( NVidia GT635M 2GB Dedicated Graphics) (Black),2.72,KG,101,Laptops,317,ASUS,1568.741,1788.36474,75
NOT3711,Fujitsu Lifebook E780 Notebook,VFY:E7800MF061GB,07/01/2011 13:27,04/03/2025 11:23,0,Intel Core i7-620M 2.66GHz 4096MB (2x2048MB) 500GB 15.6 inch LED HD DVDÝRW LAN WLAN Bluetooth Windows 7 Pro/Windows XP Pro TwinLoad (NVIDIA GeForce GT 330M 1024MB),2.75,KG,101,Laptops,222,Fujitsu,1783.547,1854.88888,143
NOT0463,Asus U31G Notebook PC,U31JG-RX092V,04/04/2011 16:04,04/03/2025 11:23,0,Intel Core i5 (480M) 2.67GHz 4GB (2x2GB) 500GB 13.3 inch HD LED WLAN BT Win7 HP (Integrated Graphics),3.45,KG,101,Laptops,317,ASUS,1748.609,1905.98381,91
NOT7009,Samsung R45 LVDp 370,NP-R45R000/SUK,29/09/2009 12:01,27/06/2023 10:49,0,Celeron M370 1.5GHz / 512MB RAM<br/>  60GB HDD / DVD Super Multi<br/>  XP Pro / Wireless LAN,5,KG,101,Laptops,143,Samsung,762.635,1075.31535,219
NOT6994,Acer Aspire One 725-C7XKK (11.6 inch) Netbook,NU.SGPEK.004,12/11/2012 11:50,07/07/2025 13:40,0,Dual Core (C-70) 1GHz 2GB 320GB WLAN Webcam Windows 8 Multi-Language 64-bit Radeon HD 6290 (Black),4,KG,101,Laptops,155,Acer,1488.886,1950.44066,22
NOT7498,Samsung Series 5 550P7C (17.3 inch) Notebook,NP550P7C-S05UK,12/03/2013 15:34,04/03/2025 11:33,0,Core i7 (3630QM) 2.4GHz 8GB 1TB Blu-ray WLAN BT Webcam Windows 8 64-bit (GeForce GT650M 2GB),4.5,KG,101,Laptops,143,Samsung,575.715,731.15805,205
NOT2482,Acer Aspire 5742-486G50Mnrr Notebook PC,LX.R4M02.070,05/07/2011 11:14,24/09/2024 15:54,0,Core i5 (480M) 2.66GHz 6GB 500GB 15.6 inch HD CineCrystal LED LCD DVD-SuperMulti DL WLAN Webcam Windows 7 Home Premium 64-bit (HD Graphics),3.6,KG,101,Laptops,155,Acer,1696.533,2290.31955,24
NOT4793,Toshiba Satellite Pro L300-299 Notebook,PSLB9E-04U003EN,29/03/2010 14:52,04/03/2025 11:15,0,Core 2 Duo (T5870) 2.00GHz 3072 (2048 + 1024MB) 320GB 15.4 inch WXGA TFT DVD Super Multi Drive Modem LAN WLAN Vista Home Premium 32-bit (Intel GMA 4500MHD),2.49,KG,101,Laptops,258,Toshiba,453.044,579.89632,172
NOT5009,MSI S262B-050UK - Black,S262B-050UK ,29/09/2009 12:00,27/06/2023 10:48,0,"12"" WXGA / Dual Core T2300E 1.66GHz<br/>512MB DDR / 60GB HDD / LAN / WLAN<br/>XP Home / Card Reader / DVD Writer",3,KG,101,Laptops,368,MSI,626.095,851.4892,55
NOT9527,"MSI GT70 2OC-614UK 17.3"" Windows 8 (i7 4700MQ/1TB/128GB/8GB/9 Cell/GTX 770M)",GT70 2OC-614UK,23/10/2013 17:21,24/09/2024 15:52,0,NULL,6.6,KG,101,Laptops,368,MSI,1845.135,2454.02955,140
NOT2840,Fujitsu-Siemens Lifebook S6420 Notebook,VFY:S6420MF041GB,29/03/2010 14:51,04/03/2025 11:31,0,Core 2 Duo T9400 2.53GHz 3072MB 320GB 13.3 inch WXGA TFT DVDÝRW LAN WLAN Vista Business/XP Pro TwinLoad (Intel GMA 4500M HD),5,KG,101,Laptops,342,Fujitsu Siemens,1227.788,1547.01288,52
NOT3716,Fujitsu Lifebook AH530 Notebook,VFY:AH530MRAZ2GB,07/01/2011 13:27,04/03/2025 11:23,0,Dual-Core P6000 1.86GHz 2048MB 250GB 15.6 inch LED HD Anti-Glare TFT DVDÝRW LAN WLAN Bluetooth Windows 7 Home Premium (64-bit) (Intel HD Graphics 1695MB),2.5,KG,101,Laptops,222,Fujitsu,1942.634,2408.86616,3
NOT6260,IBM ThinkPad T60 Notebook,UT946UK,29/09/2009 12:01,27/06/2023 10:49,0,"Core Duo T2400 / 512MB<br/>60GB / 14.1"" / CD-RW/DVD<br/>WLAN / Windows XP Pro<br/>ATI Mobility Radeon X1300",2.31,KG,101,Laptops,247,IBM,295.991,414.3874,141
NOT8744,Lenovo ThinkPad W530 244758G (15.6 inch) Notebook Core i7 (3740QM) 2.7GHz 4GB 500GB,N1K58UK_CN01,21/08/2013 14:45,07/07/2025 13:45,0,DVDÝRW WLAN BT Windows 7 Pro 64-bit/Windows 8 Pro RDVD (NVIDIA Quadro K1000M) + Targus Notebook Case,2.7,KG,101,Laptops,231,Lenovo,761.895,975.2256,198
NOT0411,eMachines E442-142G25MNKK Notebook PC,LX.NBF02.001,04/04/2011 14:07,07/07/2025 13:43,0,AMD V Series (V140) 2.3GHz 2048MB 250GB 14 inch HD LED-backlit LCD DVD-SuperMulti DL LAN WLAN Windows 7 Home Premium,2.3,KG,101,Laptops,452,eMachines,1966.681,2202.68272,148
NOT6205,Toshiba Satellite Pro A100-00Y Notebook,PSAAPE-00E00KEN,29/09/2009 12:01,27/06/2023 10:49,0,"Intel Celeron M 1.73GHz/ 512MB<br/>60GB / 15.4"" DVDRW/ 802.11 a/b/g<br/>XP Pro / Intel 943GML Express",2.72,KG,101,Laptops,258,Toshiba,1869.493,1962.96765,196
NOT8317,Acer Aspire V5-471-323b6G50Mass (14 inch) Notebook PC Core i3 (2365M) 1.4GHz 6GB 500GB,NX.M3SEK.004,11/06/2013 09:23,04/03/2025 11:29,0,DVD-SuperMulti DL WLAN BT Webcam Windows 8 64-bit (Intel Graphics) Silver,2.1,KG,101,Laptops,155,Acer,879.265,993.56945,20
NOT7289,Lenovo Essential G580 (15.6 inch) Notebook PC,MAAP3UK,19/12/2012 09:19,24/09/2024 15:53,0,Core i3 (3110M) 2.4GHz 4GB 500GB DVDÝRW WLAN Webcam Windows 8 64-bit (Intel HD Graphics) Red,2.6,KG,101,Laptops,231,Lenovo,1541.536,1603.19744,153
NOT4222,HP 630 15.6 inch Notebook,XY017EA_QD287AT,06/09/2011 11:34,07/07/2025 13:45,0,Pentium (P6200) 2.13GHz 2GB 320GB DVDÝRW SuperMulti DL WLAN BT Windows 7 HP 64-bit (GMA 4500MHD) + Norton Internet Security 3 Year 1 User/PC,2.5,KG,101,Laptops,316,HP,1519.233,1853.46426,194
NOT3211,Acer Extensa 5635Z-432G25Mn Notebook PC,LX.EE502.062,29/03/2010 14:51,24/09/2024 14:48,0,Pentium Dual-Core (T4300) 2.1GHz 2048MB 250GB 15.6 inch HD LED DVD-SuperMulti Dual Layer LAN WLAN BT Webcam Windows 7 Home Premium 64-bit (UMA Graphics),4,KG,101,Laptops,155,Acer,539.658,555.84774,99
NOT5306,Toshiba Portege Z830-10N 13.3 inch Notebook PC,PT224E-00H00LEN,13/12/2011 14:00,04/03/2025 11:19,0,Intel Core i3 (2367M) 1.40GHz 4GB (2GB Onboard+1x2GB) 128GB SSD WLAN BT Webcam Windows 7 HP 64-bit (Intel HD Graphics 3000),2.1,KG,101,Laptops,258,Toshiba,1176.722,1329.69586,82
NOT9828,Asus X552CL (15.6 inch) Notebook Core i3 (3217U) 1.8GHz 6GB 500GB,NOT9828,24/01/2014 10:22,27/06/2023 10:50,0,DVDRW WLAN Webcam Windows 8 (nVidia GeForce GT710M),2.3,KG,101,Laptops,317,ASUS,486.162,607.7025,78
NOT4397,Acer Aspire 5750 15.6 Notebook PC,LX.RLY02.153,01/11/2011 13:08,07/07/2025 13:40,0,CI5/2430M-2.4G 750GB 4GB 15.6IN DVDÝRW W7HP64 EN  ,3.98,KG,101,Laptops,155,Acer,852.305,877.87415,133
NOT1335,Acer TravelMate 3273WXMi Notebook,LX.TH706.048,29/09/2009 12:00,27/06/2023 10:47,0,Core2 Duo T5500 / 1024MB<br/>  80GB 14.1&quot; TFT / WLAN / BT<br/>  DVDRW / Card Reader / XP Pro,2.4,KG,101,Laptops,155,Acer,764.062,993.2806,62
NOT6372,Lenovo ThinkPad X300 Notebook,N1214UK,29/03/2010 14:52,27/06/2023 10:49,0,Core 2 Duo SL7100 1.2GHz / 2048MB<br/>64GB / 13.3 inch / DVDRW / WLAN<br/>WIndows Vista Business,4,KG,101,Laptops,231,Lenovo,740.894,800.16552,195
NOT1574,Acer TravelMate 5320-101G12Mi Notebook,LX.TMX0X.223,29/03/2010 14:51,27/06/2023 10:47,0,Celeron M 540 1.86GHz / 1024MB<br/>120GB / 15.4 inch / Webcam / DVDRW<br/>WLAN / Vista Home Premium,5,KG,101,Laptops,155,Acer,174.443,232.00919,148
NOT9677,Fujitsu LIFEBOOK AH564 (15.6 inch) Notebook Core i7 (4702MQ) 2.2GHz 8GB,VFY:AH564M7712GB,11/12/2013 09:35,07/07/2025 13:44,0,1TB DVD+RW Windows 8.1 (Intel HD),2.55,KG,101,Laptops,222,Fujitsu,12.612,13.49484,188
NOT6742,Acer Aspire V5-571G-32364G50Mass (15.6 inch) Notebook,NX.M1PEK.004,26/09/2012 14:51,24/09/2024 14:48,0,Core i3 (2367M) 1.4GHz 4GB 500GB DVD-SM DL WLAN BT Webcam Windows 7 HP 64-bit GeForce GT 620M 1GB (Matte Silver),3.7,KG,101,Laptops,155,Acer,99.545,117.4631,89
NOT9815,Acer Aspire V5-572-33214G50aii (15.6 inch) Notebook PC Core i3 (3217U) 1.8GHz 4GB 500GB WLAN BT Webcam Windows 8.1 64-bit (HD Graphics 4000) Iron,NX.MA3EK.009,23/01/2014 16:07,04/03/2025 11:34,0,NULL,3.1,KG,101,Laptops,155,Acer,1027.969,1079.36745,105
